user_id,year,month,month_index,avg_hourly_MB,peak_hour_usage_MB,offpeak_hour_usage_MB,prev_month_usage_MB,total_monthly_MB
user_1,2023,1,1,7.939073960744264,13.630576948962885,6.041906298004724,0.0,5906.671026793732
user_1,2023,2,2,8.47430813367955,14.12311732967684,6.591371735013789,5906.671026793732,5694.735065832658
user_1,2023,3,3,9.136316205366434,16.18534827508412,6.786638848793872,5694.735065832658,6797.419256792627
user_1,2023,4,4,9.561583499459323,16.95404466810958,7.097429776575902,6797.419256792627,6884.3401196107125
user_1,2023,5,5,10.407791630733865,18.238571559185853,7.797531654583202,6884.3401196107125,7743.396973265995
user_1,2023,6,6,10.99626330924509,19.052651768034547,8.310800489648605,7743.396973265995,7917.309582656465
user_1,2023,7,7,11.36333894342896,19.60284353128819,8.61683741414255,7917.309582656465,8454.324173911147
user_1,2023,8,8,12.42967739184762,21.572419334139926,9.382096744416854,8454.324173911147,9247.67997953463
user_1,2023,9,9,12.994274614597039,23.045339981155394,9.64391949241092,9247.67997953463,9355.877722509867
user_1,2023,10,10,13.140538443528657,21.978972547424952,10.19439374222989,9355.877722509867,9776.56060198532
user_1,2023,11,11,14.186351511784132,24.251374201090456,10.83134394868202,9776.56060198532,10214.173088484575
user_1,2023,12,12,14.19316093259038,25.031886113007793,10.586930743172388,10214.173088484575,10233.269032397664
user_10,2023,1,1,7.84851914776994,13.445203066365146,5.9829578415715385,0.0,5839.298245940835
user_10,2023,2,2,8.368873101911564,14.413034194793577,6.35415273761756,5839.298245940835,5623.882724484571
user_10,2023,3,3,8.960401698654042,15.196754813319913,6.881617327098752,5623.882724484571,6666.538863798607
user_10,2023,4,4,9.793329028208445,17.631009456909112,7.180768885308224,6666.538863798607,7051.196900310081
user_10,2023,5,5,10.47617989038286,17.26359050761527,8.213709684638724,7051.196900310081,7794.2778384448475
user_10,2023,6,6,10.902388360712743,18.79004286174459,8.273170193702128,7794.2778384448475,7849.719619713175
user_10,2023,7,7,11.500494834166405,20.022754061123916,8.659741758513903,7849.719619713175,8556.368156619805
user_10,2023,8,8,12.187538937284515,21.753426261954775,8.998909829061095,8556.368156619805,9067.528969339679
user_10,2023,9,9,12.617006052950034,22.097241865483245,9.456927448772296,9067.528969339679,9084.244358124024
user_10,2023,10,10,13.219665935308187,22.604500568139855,10.091387724364296,9084.244358124024,9835.431455869291
user_10,2023,11,11,14.121867037232931,24.56887829130741,10.639529952541437,9835.431455869291,10167.744266807711
user_10,2023,12,12,14.686542016560473,25.369489595144902,11.132141713149759,10167.744266807711,10588.996793940101
user_100,2023,1,1,7.938111059856938,13.854468055945167,5.965992061160861,0.0,5905.954628533562
user_100,2023,2,2,8.691704383773367,14.877453401393625,6.629788044566613,5905.954628533562,5840.825345895702
user_100,2023,3,3,9.07080327740621,15.630805228224808,6.884135960466678,5840.825345895702,6748.677638390221
user_100,2023,4,4,9.369584662443748,15.989641031544034,7.162899206076985,6748.677638390221,6746.100956959498
user_100,2023,5,5,10.23227280912657,17.433817702624044,7.831757844627414,6746.100956959498,7612.810969990169
user_100,2023,6,6,10.822158158778826,18.127222026547027,8.38713686952276,7612.810969990169,7791.953874320755
user_100,2023,7,7,11.619136384020944,20.589992596543514,8.628850979846753,7791.953874320755,8644.637469711583
user_100,2023,8,8,12.013176480731266,20.12743640948429,9.308423171146925,8644.637469711583,8937.803301664062
user_100,2023,9,9,12.711516646360112,21.499293721222713,9.782257621405911,8937.803301664062,9152.291985379281
user_100,2023,10,10,12.756332641516076,21.710494891907896,9.771611891385467,9152.291985379281,9490.71148528796
user_100,2023,11,11,14.05421281501237,24.293689809418417,10.64105381687702,9490.71148528796,10119.033226808906
user_100,2023,12,12,14.067693182875255,24.218212777059136,10.69044082251833,10119.033226808906,10142.806784853059
user_11,2023,1,1,7.920865410263529,13.723365151121035,5.986698829977693,0.0,5893.123865236065
user_11,2023,2,2,8.429581330825888,14.564575443594977,6.384583293236191,5893.123865236065,5664.6786543149965
user_11,2023,3,3,9.200606004848899,15.688908974018352,7.03783834845908,5664.6786543149965,6845.25086760758
user_11,2023,4,4,9.794656321040494,17.164536062718234,7.338029740481248,6845.25086760758,7052.152551149155
user_11,2023,5,5,10.40342730054942,18.38716773367424,7.742180489507815,7052.152551149155,7740.149911608769
user_11,2023,6,6,11.034432981264521,18.29927435204399,8.612819191004698,7740.149911608769,7944.791746510455
user_11,2023,7,7,11.614780976505862,20.25324926308308,8.735291547646789,7944.791746510455,8641.397046520362
user_11,2023,8,8,11.90604879402091,21.0439485437442,8.860082210779812,8641.397046520362,8858.100302751556
user_11,2023,9,9,12.838028383804566,22.46963990543253,9.627491209928579,8858.100302751556,9243.380436339288
user_11,2023,10,10,13.183837884311698,22.499057425750692,10.078764703832032,9243.380436339288,9808.775385927904
user_11,2023,11,11,13.853484645696481,23.49863435198309,10.638434743600946,9808.775385927904,9974.508944901467
user_11,2023,12,12,14.497041386464106,24.44801032143829,11.186182960779535,9974.508944901467,10452.366839640621
user_12,2023,1,1,7.58323718907719,12.844363190569291,5.829528521913156,0.0,5641.928468673429
user_12,2023,2,2,8.32730403893545,14.236057058257789,6.357719699161336,5641.928468673429,5595.948314164622
user_12,2023,3,3,9.04886729378227,15.642228808577153,6.851080122183975,5595.948314164622,6732.3572665740085
